Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Age dependency ratio (% of working-age population),SP.POP.DPND,Afghanistan,AFG,98.890488019015,99.5570070442807,100.302195104974,101.072115827794,101.988301174065,103.028465438358,104.143895795481,105.28866321665,106.419012513191,107.472472222883,108.346634638347,108.989885630326,109.347156856031,109.447532468806,109.286819841522,107.964604634786,106.326191061417,108.338124901525,109.240378534809,106.845774392516,105.433416353011
Age dependency ratio (% of working-age population),SP.POP.DPND,Africa Eastern and Southern,AFE,94.58017009921,94.6125925709988,94.6688377279976,94.7860170830562,94.4834842862161,94.007709376772,93.8898062006008,93.7274701241202,93.2683366436989,92.6539651503141,92.0447323060712,91.4024553469591,90.7713963066558,90.188457424482,89.6481046249589,89.1760453703659,88.7483584564346,88.345800668906,87.9745971694659,87.6195968697223,87.2384546339211
Age dependency ratio (% of working-age population),SP.POP.DPND,Africa Western and Central,AFW,94.9792358469348,94.6595715949776,94.2072271229238,93.6671950688283,93.099393289262,92.4843074965826,91.8880110669225,91.3594714474022,90.8131449788063,90.3474004302219,90.0511094007866,89.9028782414763,89.7998367123792,89.6646679914018,89.5332166333334,89.4676345990404,89.4819815263521,89.5129811806205,89.5448403410866,89.5803554630293,89.621875392273
Age dependency ratio (% of working-age population),SP.POP.DPND,Albania,ALB,62.0784545606528,61.980403425062,61.9579064136955,61.9862963849701,62.0387504439282,62.0826077340201,62.0083294297654,61.7219689478483,61.2050197994038,60.497458909923,59.6572954321563,58.7136107379766,57.6869962146976,56.621575595688,55.5027612956256,54.299368197336,53.0483635461657,51.7842468273697,50.5586730588966,49.396599852416,48.3527010386142
Age dependency ratio (% of working-age population),SP.POP.DPND,Algeria,DZA,85.0546100966947,83.3909341364932,81.8260380665235,80.1646279559944,78.2972359755062,76.0412593214696,73.2732521613996,70.2884958849397,67.2963508417546,64.3269285753274,61.5008804071121,58.8863690238396,56.508871874197,54.4118347642829,52.6198018723634,51.1824934002395,50.0202000695292,49.0744758975078,48.4074367556627,48.0225265184668,47.933328654764
Age dependency ratio (% of working-age population),SP.POP.DPND,American Samoa,ASM,75.260225773347,75.5922726783986,75.8912577710653,76.1852298158031,76.4664191697604,76.7133260531454,76.8906199285946,76.9380153449429,76.8480909829407,76.7337670308089,76.4736188138315,75.8525039949347,74.9789461020212,73.9917720188583,72.7864231957063,71.2397188574847,69.4502414882834,67.5821072967751,65.7994660338179,64.3346887892909,62.9065312305088
Age dependency ratio (% of working-age population),SP.POP.DPND,Andorra,AND,37.5009625503735,36.9992338679782,36.5181124880839,36.1951466592992,36.0125679650593,35.9694042911778,36.2865702084263,36.944509135562,37.6335458806638,38.2909259415284,38.8796671779463,38.892871039751,38.390467819123,37.9049111807732,37.3729978751138,36.6930374327888,36.6207977110937,37.0887407927043,37.3453724604966,37.4432368048835,37.2567458641999
Age dependency ratio (% of working-age population),SP.POP.DPND,Angola,AGO,94.8630941496451,95.3621055994888,95.7993187288498,96.1955287666978,96.5633326855217,96.7043987631262,96.6482697068682,96.475901123301,96.2036235492397,95.9098748705106,95.5754123244731,95.218156582781,94.870017412003,94.5219865597324,94.2035019095362,93.9476654289527,93.7598964888649,93.6282113622307,93.5764264907842,93.5813454648819,93.5865714749235
Age dependency ratio (% of working-age population),SP.POP.DPND,Antigua and Barbuda,ATG,63.4962435132832,62.7967662709783,61.3168005588543,60.0515401259329,59.0302311796088,58.1479768786127,57.4012267725059,56.643571978445,55.7405897248809,54.7598582838934,53.9758739537174,53.2760839835894,52.3515364424007,51.3433356594557,50.2865193138767,49.1057760519733,48.0002927293351,47.0313004194902,46.1928844870579,45.4848980294295,44.674421352962
Age dependency ratio (% of working-age population),SP.POP.DPND,Arab World,ARB,87.5419131943862,86.6137186112616,85.5423908176867,84.4197084393496,83.1802527085349,81.8268729636529,80.3842316694916,78.8568545189777,77.3010822582387,75.7561362472674,74.2433939413154,72.794770880145,71.4258027926986,70.1306679279899,68.9053576013254,67.6484120972936,66.2407449358691,64.7989344494778,63.6526691826555,62.8091249470266,62.2515246693178
Age dependency ratio (% of working-age population),SP.POP.DPND,Argentina,ARG,64.2132713974083,64.0373708207606,63.8194046946686,63.5588524841452,63.2802602697772,62.9748102437922,62.6268491612687,62.2400368111599,61.8400985730562,61.4607949663286,61.0879724896863,60.685565292786,60.254560271933,59.7829352406019,59.3017988892854,58.8384581557095,58.3750284439848,57.9051365634472,57.433559542917,56.9963714860468,56.6256126111939
Age dependency ratio (% of working-age population),SP.POP.DPND,Armenia,ARM,54.9293492252744,55.6956299625526,57.0647073090997,58.75430136312,59.8691084714616,60.3149384438058,60.1631491019857,59.7916964823443,59.0146783957745,57.727826196046,56.2120288096662,54.8288948957556,53.6793528615209,52.6264842731627,51.4776974265425,50.0843941084195,48.3645023601659,46.3947932370944,44.5128936427659,43.0617859992018,42.1193355689418
Age dependency ratio (% of working-age population),SP.POP.DPND,Aruba,ABW,49.9577827982018,52.0114685064062,52.5846702317291,51.1804278789905,49.6924402412391,47.9615938550168,46.2425191050548,45.0046056827039,44.1768647022629,43.6380772855796,43.2146588443301,42.9172510518934,42.7143101491191,42.4569329829576,42.171018633918,42.1324989469884,42.4128223079558,42.7825394249635,43.1789956606227,43.5732685016353,43.5910645544441
Age dependency ratio (% of working-age population),SP.POP.DPND,Australia,AUS,49.4963766344829,49.6460329771239,49.8461513665485,50.0284916863658,50.1467233417319,50.1703804852791,50.1130083295046,49.9982657782023,49.855351883663,49.6762576305018,49.4896723471867,49.3085069134591,49.0860462317005,48.8602688276869,48.6681030235917,48.4944079945762,48.3523152458934,48.243438535794,48.1591868438043,48.1940761319279,48.4176319614584
Age dependency ratio (% of working-age population),SP.POP.DPND,Austria,AUT,48.0734835285763,48.1988663726217,48.3804433335421,48.6086885416931,48.8840987543149,49.1050912129935,49.1396055407334,48.9939407946602,48.7647924828245,48.448072862909,48.0590131844728,47.6179349440148,47.1686366342962,46.8049223091549,46.9334794283308,47.5090657739447,47.9910890068399,48.1733063284953,48.1728339049664,48.2134774375318,48.0618781298757
Age dependency ratio (% of working-age population),SP.POP.DPND,Azerbaijan,AZE,63.8243313528839,64.3031730146317,64.7429306859191,65.1277686625221,65.0822080732742,64.4995893316563,63.5438561083725,62.301056579723,60.8329737474164,59.225040545519,57.5116074949436,55.6970847874588,53.888948835384,52.1143433733615,50.3421679821265,48.5735743577823,46.8776415791197,45.3012572074515,43.8508103898781,42.6528665802089,41.8054076403593
